creationtime,id,province,modifiedtime,express_code,inner_source,channel_source
2015-04-08 11:20:17:000 +0200,ExpresslocationsData|ff99250c-2247-4b21-9ead-a4082b7ehy16,福建,2015-04-08 11:20:17:000 +0200,YUNDA,JSC,JD
2015-04-08 11:20:17:000 +0200,ExpresslocationsData|ff99250c-2247-4b21-9ead-a4082b7ehy17,湖北,2015-04-08 11:20:17:000 +0200,YUNDA,JSC,JD
2015-04-08 11:20:17:000 +0200,ExpresslocationsData|ff99250c-2247-4b21-9ead-a4082b7ehy18,湖南,2015-04-08 11:20:17:000 +0200,YUNDA,JSC,JD
2015-04-08 11:20:17:000 +0200,ExpresslocationsData|ff99250c-2247-4b21-9ead-a4082b7ehy19,广东,2015-04-08 11:20:17:000 +0200,YUNDA,JSC,JD
2015-04-08 11:20:17:000 +0200,ExpresslocationsData|ff99250c-2247-4b21-9ead-a4082b7ehy20,广西,2015-04-08 11:20:17:000 +0200,YUNDA,JSC,JD
2015-04-08 11:20:17:000 +0200,ExpresslocationsData|ff99250c-2247-4b21-9ead-a4082b7ehy21,江西,2015-04-08 11:20:17:000 +0200,YUNDA,JSC,JD
2015-04-08 11:20:17:000 +0200,ExpresslocationsData|ff99250c-2247-4b21-9ead-a4082b7ehy22,四川,2015-04-08 11:20:17:000 +0200,YUNDA,JSC,JD
2015-04-08 11:20:17:000 +0200,ExpresslocationsData|ff99250c-2247-4b21-9ead-a4082b7ehy23,海南,2015-04-08 11:20:17:000 +0200,YUNDA,JSC,JD
2015-04-08 11:20:17:000 +0200,ExpresslocationsData|ff99250c-2247-4b21-9ead-a4082b7ehy24,贵州,2015-04-08 11:20:17:000 +0200,YUNDA,JSC,JD
2015-04-08 11:20:17:000 +0200,ExpresslocationsData|ff99250c-2247-4b21-9ead-a4082b7ehy25,云南,2015-04-08 11:20:17:000 +0200,YUNDA,JSC,JD
2015-04-08 11:20:17:000 +0200,ExpresslocationsData|ff99250c-2247-4b21-9ead-a4082b7ehy26,西藏,2015-04-08 11:20:17:000 +0200,YUNDA,JSC,JD
2015-04-08 11:20:17:000 +0200,ExpresslocationsData|ff99250c-2247-4b21-9ead-a4082b7ehy27,陕西,2015-04-08 11:20:17:000 +0200,YUNDA,JSC,JD
2015-04-08 11:20:17:000 +0200,ExpresslocationsData|ff99250c-2247-4b21-9ead-a4082b7ehy28,甘肃,2015-04-08 11:20:17:000 +0200,YUNDA,JSC,JD
2015-04-08 11:20:17:000 +0200,ExpresslocationsData|ff99250c-2247-4b21-9ead-a4082b7ehy29,青海,2015-04-08 11:20:17:000 +0200,YUNDA,JSC,JD
2015-04-08 11:20:17:000 +0200,ExpresslocationsData|ff99250c-2247-4b21-9ead-a4082b7ehy30,宁夏,2015-04-08 11:20:17:000 +0200,YUNDA,JSC,JD
2015-04-08 11:20:17:000 +0200,ExpresslocationsData|ff99250c-2247-4b21-9ead-a4082b7ehy31,新疆,2015-04-08 11:20:17:000 +0200,YUNDA,JSC,JD
2015-04-08 11:20:17:000 +0200,ExpresslocationsData|ff99250c-2247-4b21-9ead-a4082b7ehy32,台湾,2015-04-08 11:20:17:000 +0200,YUNDA,JSC,JD
2015-04-08 11:20:17:000 +0200,ExpresslocationsData|ff99250c-2247-4b21-9ead-a4082b7ehy33,香港,2015-04-08 11:20:17:000 +0200,YUNDA,JSC,JD
2015-04-08 11:20:17:000 +0200,ExpresslocationsData|ff99250c-2247-4b21-9ead-a4082b7ehy34,澳门,2015-04-08 11:20:17:000 +0200,YUNDA,JSC,JD
2015-04-08 11:20:17:000 +0200,ExpresslocationsData|ff99250c-2247-4b21-9ead-a4082b7ehy35,钓鱼岛,2015-04-08 11:20:17:000 +0200,YUNDA,JSC,JD
2015-04-22 11:20:17:000 +0200,ExpresslocationsData|ff99250c-2247-4b21-9ead-a408yhdjsc01,上海,2015-04-22 11:20:17:000 +0200,YUNDA,JSC,YHD
2015-04-22 11:20:17:000 +0200,ExpresslocationsData|ff99250c-2247-4b21-9ead-a408yhdjsc02,北京,2015-04-22 11:20:17:000 +0200,YUNDA,JSC,YHD
2015-04-22 11:20:17:000 +0200,ExpresslocationsData|ff99250c-2247-4b21-9ead-a408yhdjsc03,天津,2015-04-22 11:20:17:000 +0200,YUNDA,JSC,YHD
2015-04-22 11:20:17:000 +0200,ExpresslocationsData|ff99250c-2247-4b21-9ead-a408yhdjsc04,河北,2015-04-22 11:20:17:000 +0200,YUNDA,JSC,YHD
2015-04-22 11:20:17:000 +0200,ExpresslocationsData|ff99250c-2247-4b21-9ead-a408yhdjsc05,江苏,2015-04-22 11:20:17:000 +0200,YUNDA,JSC,YHD
2015-04-22 11:20:17:000 +0200,ExpresslocationsData|ff99250c-2247-4b21-9ead-a408yhdjsc06,浙江,2015-04-22 11:20:17:000 +0200,YUNDA,JSC,YHD
2015-04-22 11:20:17:000 +0200,ExpresslocationsData|ff99250c-2247-4b21-9ead-a408yhdjsc07,重庆,2015-04-22 11:20:17:000 +0200,YUNDA,JSC,YHD
2015-04-22 11:20:17:000 +0200,ExpresslocationsData|ff99250c-2247-4b21-9ead-a408yhdjsc08,内蒙古,2015-04-22 11:20:17:000 +0200,YUNDA,JSC,YHD
2015-04-22 11:20:17:000 +0200,ExpresslocationsData|ff99250c-2247-4b21-9ead-a408yhdjsc09,辽宁,2015-04-22 11:20:17:000 +0200,YUNDA,JSC,YHD
2015-04-22 11:20:17:000 +0200,ExpresslocationsData|ff99250c-2247-4b21-9ead-a408yhdjsc10,吉林,2015-04-22 11:20:17:000 +0200,YUNDA,JSC,YHD
2015-04-22 11:20:17:000 +0200,ExpresslocationsData|ff99250c-2247-4b21-9ead-a408yhdjsc11,黑龙江,2015-04-22 11:20:17:000 +0200,YUNDA,JSC,YHD
2015-04-22 11:20:17:000 +0200,ExpresslocationsData|ff99250c-2247-4b21-9ead-a408yhdjsc12,四川,2015-04-22 11:20:17:000 +0200,YUNDA,JSC,YHD
2015-04-22 11:20:17:000 +0200,ExpresslocationsData|ff99250c-2247-4b21-9ead-a408yhdjsc13,安徽,2015-04-22 11:20:17:000 +0200,YUNDA,JSC,YHD
2015-04-22 11:20:17:000 +0200,ExpresslocationsData|ff99250c-2247-4b21-9ead-a408yhdjsc14,福建,2015-04-22 11:20:17:000 +0200,YUNDA,JSC,YHD
2015-04-22 11:20:17:000 +0200,ExpresslocationsData|ff99250c-2247-4b21-9ead-a408yhdjsc15,江西,2015-04-22 11:20:17:000 +0200,YUNDA,JSC,YHD
2015-04-22 11:20:17:000 +0200,ExpresslocationsData|ff99250c-2247-4b21-9ead-a408yhdjsc16,山东,2015-04-22 11:20:17:000 +0200,YUNDA,JSC,YHD
2015-04-22 11:20:17:000 +0200,ExpresslocationsData|ff99250c-2247-4b21-9ead-a408yhdjsc17,河南,2015-04-22 11:20:17:000 +0200,YUNDA,JSC,YHD
2015-04-22 11:20:17:000 +0200,ExpresslocationsData|ff99250c-2247-4b21-9ead-a408yhdjsc18,湖北,2015-04-22 11:20:17:000 +0200,YUNDA,JSC,YHD
2015-04-22 11:20:17:000 +0200,ExpresslocationsData|ff99250c-2247-4b21-9ead-a408yhdjsc19,湖南,2015-04-22 11:20:17:000 +0200,YUNDA,JSC,YHD
2015-04-22 11:20:17:000 +0200,ExpresslocationsData|ff99250c-2247-4b21-9ead-a408yhdjsc20,广东,2015-04-22 11:20:17:000 +0200,YUNDA,JSC,YHD
2015-04-22 11:20:17:000 +0200,ExpresslocationsData|ff99250c-2247-4b21-9ead-a408yhdjsc21,广西,2015-04-22 11:20:17:000 +0200,YUNDA,JSC,YHD
2015-04-22 11:20:17:000 +0200,ExpresslocationsData|ff99250c-2247-4b21-9ead-a408yhdjsc22,海南,2015-04-22 11:20:17:000 +0200,YUNDA,JSC,YHD
2015-04-22 11:20:17:000 +0200,ExpresslocationsData|ff99250c-2247-4b21-9ead-a408yhdjsc23,贵州,2015-04-22 11:20:17:000 +0200,YUNDA,JSC,YHD
2015-04-22 11:20:17:000 +0200,ExpresslocationsData|ff99250c-2247-4b21-9ead-a408yhdjsc24,云南,2015-04-22 11:20:17:000 +0200,YUNDA,JSC,YHD
2015-04-22 11:20:17:000 +0200,ExpresslocationsData|ff99250c-2247-4b21-9ead-a408yhdjsc25,西藏,2015-04-22 11:20:17:000 +0200,YUNDA,JSC,YHD
2015-04-22 11:20:17:000 +0200,ExpresslocationsData|ff99250c-2247-4b21-9ead-a408yhdjsc26,陕西,2015-04-22 11:20:17:000 +0200,YUNDA,JSC,YHD
2015-04-22 11:20:17:000 +0200,ExpresslocationsData|ff99250c-2247-4b21-9ead-a408yhdjsc27,甘肃,2015-04-22 11:20:17:000 +0200,YUNDA,JSC,YHD
2015-04-22 11:20:17:000 +0200,ExpresslocationsData|ff99250c-2247-4b21-9ead-a408yhdjsc28,青海,2015-04-22 11:20:17:000 +0200,YUNDA,JSC,YHD
2015-04-22 11:20:17:000 +0200,ExpresslocationsData|ff99250c-2247-4b21-9ead-a408yhdjsc29,新疆,2015-04-22 11:20:17:000 +0200,YUNDA,JSC,YHD
2015-04-22 11:20:17:000 +0200,ExpresslocationsData|ff99250c-2247-4b21-9ead-a408yhdjsc30,宁夏,2015-04-22 11:20:17:000 +0200,YUNDA,JSC,YHD
2015-04-22 11:20:17:000 +0200,ExpresslocationsData|ff99250c-2247-4b21-9ead-a408yhdjsc31,台湾,2015-04-22 11:20:17:000 +0200,YUNDA,JSC,YHD
2015-04-22 11:20:17:000 +0200,ExpresslocationsData|ff99250c-2247-4b21-9ead-a408yhdjsc32,山西,2015-04-22 11:20:17:000 +0200,YUNDA,JSC,YHD
2015-04-22 11:20:17:000 +0200,ExpresslocationsData|ff99250c-2247-4b21-9ead-a408yhdotc01,上海,2015-04-22 11:20:17:000 +0200,YUNDA,OTC,YHD
2015-04-22 11:20:17:000 +0200,ExpresslocationsData|ff99250c-2247-4b21-9ead-a408yhdotc02,北京,2015-04-22 11:20:17:000 +0200,YUNDA,OTC,YHD
2015-04-22 11:20:17:000 +0200,ExpresslocationsData|ff99250c-2247-4b21-9ead-a408yhdotc03,天津,2015-04-22 11:20:17:000 +0200,YUNDA,OTC,YHD
2015-04-22 11:20:17:000 +0200,ExpresslocationsData|ff99250c-2247-4b21-9ead-a408yhdotc04,河北,2015-04-22 11:20:17:000 +0200,YUNDA,OTC,YHD
2015-04-22 11:20:17:000 +0200,ExpresslocationsData|ff99250c-2247-4b21-9ead-a408yhdotc05,江苏,2015-04-22 11:20:17:000 +0200,YUNDA,OTC,YHD
2015-04-22 11:20:17:000 +0200,ExpresslocationsData|ff99250c-2247-4b21-9ead-a408yhdotc06,浙江,2015-04-22 11:20:17:000 +0200,YUNDA,OTC,YHD
2015-04-22 11:20:17:000 +0200,ExpresslocationsData|ff99250c-2247-4b21-9ead-a408yhdotc07,重庆,2015-04-22 11:20:17:000 +0200,YUNDA,OTC,YHD
2015-04-22 11:20:17:000 +0200,ExpresslocationsData|ff99250c-2247-4b21-9ead-a408yhdotc08,内蒙古,2015-04-22 11:20:17:000 +0200,YUNDA,OTC,YHD
2015-04-22 11:20:17:000 +0200,ExpresslocationsData|ff99250c-2247-4b21-9ead-a408yhdotc09,辽宁,2015-04-22 11:20:17:000 +0200,YUNDA,OTC,YHD
2015-04-22 11:20:17:000 +0200,ExpresslocationsData|ff99250c-2247-4b21-9ead-a408yhdotc10,吉林,2015-04-22 11:20:17:000 +0200,YUNDA,OTC,YHD
2015-04-22 11:20:17:000 +0200,ExpresslocationsData|ff99250c-2247-4b21-9ead-a408yhdotc11,黑龙江,2015-04-22 11:20:17:000 +0200,YUNDA,OTC,YHD
2015-04-22 11:20:17:000 +0200,ExpresslocationsData|ff99250c-2247-4b21-9ead-a408yhdotc12,四川,2015-04-22 11:20:17:000 +0200,YUNDA,OTC,YHD
2015-04-22 11:20:17:000 +0200,ExpresslocationsData|ff99250c-2247-4b21-9ead-a408yhdotc13,安徽,2015-04-22 11:20:17:000 +0200,YUNDA,OTC,YHD
2015-04-22 11:20:17:000 +0200,ExpresslocationsData|ff99250c-2247-4b21-9ead-a408yhdotc14,福建,2015-04-22 11:20:17:000 +0200,YUNDA,OTC,YHD
2015-04-22 11:20:17:000 +0200,ExpresslocationsData|ff99250c-2247-4b21-9ead-a408yhdotc15,江西,2015-04-22 11:20:17:000 +0200,YUNDA,OTC,YHD
2015-04-22 11:20:17:000 +0200,ExpresslocationsData|ff99250c-2247-4b21-9ead-a408yhdotc16,山东,2015-04-22 11:20:17:000 +0200,YUNDA,OTC,YHD
2015-04-22 11:20:17:000 +0200,ExpresslocationsData|ff99250c-2247-4b21-9ead-a408yhdotc17,河南,2015-04-22 11:20:17:000 +0200,YUNDA,OTC,YHD
2015-04-22 11:20:17:000 +0200,ExpresslocationsData|ff99250c-2247-4b21-9ead-a408yhdotc18,湖北,2015-04-22 11:20:17:000 +0200,YUNDA,OTC,YHD
2015-04-22 11:20:17:000 +0200,ExpresslocationsData|ff99250c-2247-4b21-9ead-a408yhdotc19,湖南,2015-04-22 11:20:17:000 +0200,YUNDA,OTC,YHD
2015-04-22 11:20:17:000 +0200,ExpresslocationsData|ff99250c-2247-4b21-9ead-a408yhdotc20,广东,2015-04-22 11:20:17:000 +0200,YUNDA,OTC,YHD
2015-04-22 11:20:17:000 +0200,ExpresslocationsData|ff99250c-2247-4b21-9ead-a408yhdotc21,广西,2015-04-22 11:20:17:000 +0200,YUNDA,OTC,YHD
2015-04-22 11:20:17:000 +0200,ExpresslocationsData|ff99250c-2247-4b21-9ead-a408yhdotc22,海南,2015-04-22 11:20:17:000 +0200,YUNDA,OTC,YHD
2015-04-22 11:20:17:000 +0200,ExpresslocationsData|ff99250c-2247-4b21-9ead-a408yhdotc23,贵州,2015-04-22 11:20:17:000 +0200,YUNDA,OTC,YHD
2015-04-22 11:20:17:000 +0200,ExpresslocationsData|ff99250c-2247-4b21-9ead-a408yhdotc24,云南,2015-04-22 11:20:17:000 +0200,YUNDA,OTC,YHD
2015-04-22 11:20:17:000 +0200,ExpresslocationsData|ff99250c-2247-4b21-9ead-a408yhdotc25,西藏,2015-04-22 11:20:17:000 +0200,YUNDA,OTC,YHD
2015-04-22 11:20:17:000 +0200,ExpresslocationsData|ff99250c-2247-4b21-9ead-a408yhdotc26,陕西,2015-04-22 11:20:17:000 +0200,YUNDA,OTC,YHD
2015-04-22 11:20:17:000 +0200,ExpresslocationsData|ff99250c-2247-4b21-9ead-a408yhdotc27,甘肃,2015-04-22 11:20:17:000 +0200,YUNDA,OTC,YHD
2015-04-22 11:20:17:000 +0200,ExpresslocationsData|ff99250c-2247-4b21-9ead-a408yhdotc28,青海,2015-04-22 11:20:17:000 +0200,YUNDA,OTC,YHD
2015-04-22 11:20:17:000 +0200,ExpresslocationsData|ff99250c-2247-4b21-9ead-a408yhdotc29,新疆,2015-04-22 11:20:17:000 +0200,YUNDA,OTC,YHD
2015-04-22 11:20:17:000 +0200,ExpresslocationsData|ff99250c-2247-4b21-9ead-a408yhdotc30,宁夏,2015-04-22 11:20:17:000 +0200,YUNDA,OTC,YHD
2015-04-22 11:20:17:000 +0200,ExpresslocationsData|ff99250c-2247-4b21-9ead-a408yhdotc31,台湾,2015-04-22 11:20:17:000 +0200,YUNDA,OTC,YHD
2015-04-22 11:20:17:000 +0200,ExpresslocationsData|ff99250c-2247-4b21-9ead-a408yhdotc32,山西,2015-04-22 11:20:17:000 +0200,YUNDA,OTC,YHD
